,ID Iklan,Merk,Model,Tahun,Jenis,Pintu,Kapasitas,Transmisi,BBM,Tipe Penjual,Boleh Nego,Test Drive,Loc,Price,Kilometer,CC Mesin,Airbags,Tenaga mesin,Jumlah Gigi
0,119604,Mitsubishi,Xpander,2018,SUV,5,7 penumpang,Matic,Bensin,Owner,No,Yes,Dharmasraya,94.700.000,,,,,
1,104510,BMW,530i,2018,Sedan,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Utara,915.000.000,15000,3000,,,
2,100235,Hino,FG Series 4x2,2013,Truck,2,2 penumpang,Manual,Diesel,Owner,Yes,Yes,Jakarta Utara,495.000.000,64187,7684,,,
3,114905,Honda,Odyssey,2007,MPV,4,7 penumpang,Matic,Bensin,Owner,No,No,Jakarta Timur,170.000.000,,2400,,,
4,119603,Mitsubishi,Xpander,2018,SUV,5,7 penumpang,Matic,Bensin,Owner,No,Yes,Bukittinggi,94.700.000,,,,,
5,119602,Nissan,Terrano,2006,SUV,4,5 penumpang,Manual,Bensin,Owner,No,No,Pekanbaru,165.000.000,,2400,,,
6,119601,Mitsubishi,Pajero,2012,MPV,5,7 penumpang,Matic,Diesel,Owner,No,Yes,Bukittinggi,102.000.000,,,,,
7,119600,Mazda,2,2014,City Car,5,5 penumpang,Matic,Bensin,Owner,No,Yes,Bukittinggi,86.000.000,,,,,
8,119599,Kia,Rio,2014,City Car,5,5 penumpang,Manual,Bensin,Owner,No,Yes,Bukittinggi,50.000.000,,,,,
9,119598,Nissan,Terrano,2006,SUV,4,5 penumpang,Manual,Bensin,Owner,No,No,Jakarta Timur,165.000.000,,2400,,,
10,119597,Nissan,Grand Livina,2007,MPV,4,7 penumpang,Manual,Bensin,Owner,No,No,Jakarta Selatan,73.000.000,85000,1500,,,
11,119595,Honda,All New Jazz RS,2019,Hatcback,4,5 penumpang,Matic,Bensin,Owner,Yes,Yes,Sleman,253.000.000,20,1500,2,1500 HP,2
12,119594,Toyota,Fortuner VRZ,2016,SUV,4,7 penumpang,Matic,Diesel,Owner,Yes,Yes,Sleman,379.000.000,50000,2400,3,2400 HP,3
13,119592,Toyota,Fortuner 2.7 V,2011,SUV,4,7 penumpang,Matic,Bensin,Owner,Yes,Yes,Sleman,218.000.000,90000,2700,3,2700 HP,4
14,100081,Ford,Everest,2013,SUV,4,7 penumpang,Manual,Diesel,Owner,No,No,Jakarta Timur,185.000.000,91000,2500,,,
15,104123,Toyota,Kijang Innova G 2.0,2014,Minibus,4,7 penumpang,Matic,Bensin,Owner,No,No,Bekasi,155.000.000,,2000,,,
16,104481,Toyota,Hardtop,1984,Jip,3,5 penumpang,Manual,Diesel,Owner,Yes,Yes,Semarang,350.000.000,300000,3800,,,4
17,119591,Toyota,Kijang Innova G 2.0,2015,MPV,5,7 penumpang,Matic,Bensin,Owner,Yes,Yes,Surabaya,95.000.000,,,2,,
18,119590,Honda,Jazz,2014,City Car,5,5 penumpang,Matic,Bensin,Owner,No,Yes,Bukittinggi,73.000.000,,,,,
19,119589,Honda,Jazz,2012,City Car,5,5 penumpang,Matic,Bensin,Owner,No,Yes,Agam,73.000.000,,,,,
20,119588,Honda,Freed,2013,SUV,5,5 penumpang,Matic,Bensin,Owner,No,Yes,Agam,80.000.000,,,,,
21,119587,Honda,CR-V,2012,SUV,5,5 penumpang,Matic,Bensin,Owner,No,Yes,Agam,95.400.000,,,,,
22,119586,Honda,Brio,2015,City Car,5,5 penumpang,Matic,Bensin,Owner,No,Yes,Agam,50.000.000,,,,,
23,119585,Honda,Accord,2012,Sedan,5,5 penumpang,Matic,Bensin,Owner,No,Yes,Agam,70.000.000,,,,,
